DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230124494,11/20/2023 0:00,11/20/2023 0:00,1315,1,Central,152,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,700 W  7TH                          ST,,34.0491,-118.2558
231916842,11/20/2023 0:00,11/20/2023 0:00,410,19,Mission,1963,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448 0444,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,9800    VESPER                       AV,,34.2482,-118.4502
231115983,11/20/2023 0:00,11/20/2023 0:00,1300,11,Northeast,1145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1822,0,,,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",302,BLUNT INSTRUMENT,IC,Invest Cont,230,,,,1900    RIVERSIDE                    DR,,34.0972,-118.2465
230817068,11/20/2023 0:00,11/20/2023 0:00,140,8,West LA,832,1,648,ARSON,,49,M,O,507,CONDOMINIUM/TOWNHOUSE,506,FIRE,IC,Invest Cont,648,,,,1100 S  BARRINGTON                   AV,,34.0511,-118.4626
230717367,11/20/2023 0:00,11/20/2023 0:00,330,7,Wilshire,759,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,0,,,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,331,,,,1200    WESTCHESTER                  PL,,34.0495,-118.3179
232018122,11/20/2023 0:00,11/20/2023 0:00,1000,20,Olympic,2014,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0448 0400 0432 0443,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,200 S  NORMANDIE                    AV,,34.0726,-118.3029
232018099,11/20/2023 0:00,11/20/2023 0:00,322,20,Olympic,2036,1,310,BURGLARY,1822 0342 0344 0216 0378 1607 0315 0358,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700 S  VERMONT                      AV,,34.0598,-118.2935
231223411,11/20/2023 0:00,11/20/2023 0:00,230,12,77th Street,1267,1,761,BRANDISH WEAPON,0334 1822,53,F,B,101,STREET,102,HAND GUN,IC,Invest Cont,761,,,,8400 S  GRAND                        AV,,33.9633,-118.2803
230124452,11/20/2023 0:00,11/20/2023 0:00,200,1,Central,182,1,210,ROBBERY,,17,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,12TH                         ST,FIGUEROA                     ST,34.0419,-118.2669
230516016,11/20/2023 0:00,11/20/2023 0:00,1520,5,Harbor,541,2,624,BATTERY - SIMPLE ASSAULT,416,0,,,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1100 N  GAFFEY                       ST,,33.7547,-118.3011
230221285,11/20/2023 0:00,11/20/2023 0:00,2015,2,Rampart,246,2,888,TRESPASSING,0910 1822 1501,0,,,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
231223405,11/20/2023 0:00,11/20/2023 0:00,30,12,77th Street,1283,1,210,ROBBERY,0302 0315 0324 0334 0337 0432 1309 0209 1822,22,X,X,244,TOBACCO SHOP,102,HAND GUN,IC,Invest Cont,210,,,,2100 W  CENTURY                      BL,,33.9455,-118.3093
231819667,11/20/2023 0:00,11/20/2023 0:00,2020,18,Southeast,1863,1,210,ROBBERY,0344 0913 0360 0416 0429 0302 0308 0337 0443 0342,0,,,501,SINGLE FAMILY DWELLING,106,UNKNOWN FIREARM,IC,Invest Cont,210,,,,300 E  119TH                        ST,,33.9247,-118.2696
232018114,11/20/2023 0:00,11/20/2023 0:00,1450,20,Olympic,2053,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1820 0334 0447 0416 0400 0445 0432 0443 1912,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,900 S  OXFORD                       AV,,34.0529,-118.3074
231916850,11/20/2023 0:00,11/20/2023 0:00,200,19,Mission,1971,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,9000    LANGDON                      AV,,34.2338,-118.4698
230221275,11/20/2023 0:00,11/20/2023 0:00,1130,2,Rampart,218,2,624,BATTERY - SIMPLE ASSAULT,0448 1236 1822 2021 2003,0,,,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500 W  SUNSET                       BL,,34.0758,-118.2552
231614218,11/20/2023 0:00,11/20/2023 0:00,21,16,Foothill,1654,2,946,OTHER MISCELLANEOUS CRIME,1300,0,M,X,101,STREET,,,IC,Invest Cont,946,,,,OSBORNE,GLENOAKS,34.2592,-118.4025
231517856,11/20/2023 0:00,11/20/2023 0:00,815,15,N Hollywood,1548,2,624,BATTERY - SIMPLE ASSAULT,2004 0400,24,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5300    LANKERSHIM                   BL,,34.167,-118.3759
230124472,11/20/2023 0:00,11/20/2023 0:00,635,1,Central,162,1,330,BURGLARY FROM VEHICLE,1307 0344 0329,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,330,,,,700 S  HOPE                         ST,,34.048,-118.2577
230916562,11/20/2023 0:00,11/20/2023 0:00,800,9,Van Nuys,909,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",431,68,M,O,101,STREET,512,MACE/PEPPER SPRAY,IC,Invest Cont,230,,,,13600    SHERMAN                      WY,,34.205,-118.4339
231223417,11/20/2023 0:00,11/20/2023 0:00,300,12,77th Street,1239,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,60TH                         ST,33.9855,-118.2915
231614241,11/20/2023 0:00,11/20/2023 0:00,1300,16,Foothill,1612,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,13500    PAXTON                       ST,,34.2732,-118.4268
231819641,11/20/2023 0:00,11/20/2023 0:00,945,18,Southeast,1863,1,210,ROBBERY,0344 1822 0312 0432 0345,22,M,H,124,BUS STOP,102,HAND GUN,IC,Invest Cont,210,,,,11600    AVALON                       BL,,33.9292,-118.2652
230221263,11/20/2023 0:00,11/20/2023 0:00,900,2,Rampart,299,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1307,21,F,H,101,STREET,,,IC,Invest Cont,745,,,,1000 W  18TH                         ST,,34.0387,-118.2786
231320866,11/20/2023 0:00,11/20/2023 0:00,1027,13,Newton,1393,2,890,FAILURE TO YIELD,1309,0,M,H,101,STREET,,,IC,Invest Cont,890,,,,MAIN                         ST,FLORENCE                     AV,33.9747,-118.2739
231223443,11/20/2023 0:00,11/20/2023 0:00,1130,12,77th Street,1253,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0416 0432,0,,,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,7200 S  HARVARD                      BL,,33.9746,-118.3068
232018132,11/20/2023 0:00,11/20/2023 0:00,630,20,Olympic,2079,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1501,0,,,101,STREET,,,IC,Invest Cont,740,,,,2200 W  15TH                         ST,,34.0453,-118.2864
230124448,11/20/2023 0:00,11/20/2023 0:00,230,1,Central,156,2,624,BATTERY - SIMPLE ASSAULT,0416 0305,53,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN JULIAN                   ST,,34.0446,-118.245
230414544,11/20/2023 0:00,11/20/2023 0:00,930,4,Hollenbeck,478,1,210,ROBBERY,0334 0400 0449 0324,0,,,203,OTHER BUSINESS,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,3400    WHITTIER                     BL,,34.0278,-118.201
230221255,11/20/2023 0:00,11/20/2023 0:00,900,2,Rampart,299,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1300 0411 0416 0400 0334 0913 1402,25,F,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,998,,,1000 W  18TH                         ST,,34.0387,-118.2786
230320069,11/20/2023 0:00,11/20/2023 0:00,430,3,Southwest,355,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0446,21,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,3600    RUTHELEN                     ST,,34.0219,-118.3128
231717853,11/20/2023 0:00,11/20/2023 0:00,1120,17,Devonshire,1785,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800    DARBY                        AV,,34.2308,-118.5336
230516015,11/20/2023 0:00,11/20/2023 0:00,915,5,Harbor,529,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SANFORD,F                            ST,33.7777,-118.2505
231819644,11/20/2023 0:00,11/20/2023 0:00,1215,18,Southeast,1802,1,761,BRANDISH WEAPON,2024 0443 1402 0562 0913 0334 0432,0,,,501,SINGLE FAMILY DWELLING,311,HAMMER,IC,Invest Cont,761,930,998,,200 W  89TH                         ST,,33.9555,-118.2767
232116701,11/20/2023 0:00,11/20/2023 0:00,115,21,Topanga,2175,1,310,BURGLARY,344,46,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,22600    MIRANDA                      ST,,34.1747,-118.6189
231320892,11/20/2023 0:00,11/20/2023 0:00,100,13,Newton,1343,2,624,BATTERY - SIMPLE ASSAULT,0444 0602 0913,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 E  38TH                         ST,,34.012,-118.2653
231517864,11/20/2023 0:00,11/20/2023 0:00,1110,15,N Hollywood,1525,2,624,BATTERY - SIMPLE ASSAULT,1266 0447 2004,0,,,727,SHOPPING MALL (COMMON AREA),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,6100    LAUREL CANYON                BL,,34.1814,-118.3965
231819633,11/20/2023 0:00,11/20/2023 0:00,250,18,Southeast,1837,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,38,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,COMPTON                      AV,IMPERIAL                     HY,33.9295,-118.2463
231517876,11/20/2023 0:00,11/20/2023 0:00,1515,15,N Hollywood,1549,2,888,TRESPASSING,,0,,,135,MTA PROPERTY OR PARKING LOT,,,IC,Invest Cont,888,,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
231517849,11/20/2023 0:00,11/20/2023 0:00,1020,15,N Hollywood,1548,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,37,F,B,101,STREET,,,IC,Invest Cont,440,,,,5300    LANKERSHIM                   BL,,34.167,-118.3759
231614240,11/20/2023 0:00,11/20/2023 0:00,1715,16,Foothill,1663,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SHELDON,LAUREL CANYON                BL,34.232,-118.4037
232018094,11/20/2023 0:00,11/20/2023 0:00,340,20,Olympic,2091,1,220,ATTEMPTED ROBBERY,1822 0342 1309 0326 1312 1225 0432 0209,0,,,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,220,,,,ARLINGTON                    ST,SANTA MONICA,34.0368,-118.3177
230516002,11/20/2023 0:00,11/20/2023 0:00,553,5,Harbor,513,1,220,ATTEMPTED ROBBERY,0342 1309 1307 1281 0400 1822 0213,34,M,W,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,220,,,,1200    253RD                        ST,,33.7947,-118.2975
230817069,11/20/2023 0:00,11/20/2023 0:00,745,8,West LA,805,1,310,BURGLARY,1822 1609 0329 0344 0352,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,400 N  BELLAGIO                     TR,,34.0789,-118.462
231115956,11/20/2023 0:00,11/20/2023 0:00,305,11,Northeast,1152,1,310,BURGLARY,0344 1602,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1600    HILLHURST                    AV,,34.1,-118.2874
230618072,11/20/2023 0:00,11/20/2023 0:00,1109,6,Hollywood,622,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0344 1606,0,,,101,STREET,,,IC,Invest Cont,420,,,,7800    FAREHOLM                     DR,,34.1042,-118.3608
230414543,11/20/2023 0:00,11/20/2023 0:00,745,4,Hollenbeck,429,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,103,ALLEY,,,IC,Invest Cont,420,,,,4700 N  HUNTINGTON                   DR,,34.0888,-118.1719
231819647,11/20/2023 0:00,11/20/2023 0:00,746,18,Southeast,1826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 0344,0,,,403,DRUG STORE,,,IC,Invest Cont,442,,,,1600 E  103RD                        ST,,33.9485,-118.2461
231819662,11/20/2023 0:00,11/20/2023 0:00,1520,18,Southeast,1821,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,,,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,700 W  104TH                        ST,,33.9467,-118.2871
230414554,11/20/2023 0:00,11/20/2023 0:00,356,4,Hollenbeck,457,2,860,BATTERY WITH SEXUAL CONTACT,0500 0522 2014,0,,,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,CESAR E CHAVEZ               AV,FOREST                       AV,34.0445,-118.2025
232116716,11/20/2023 0:00,11/20/2023 0:00,1350,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0325,0,,,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,21900    VANOWEN                      ST,,34.1938,-118.6044
231115958,11/20/2023 0:00,11/20/2023 0:00,715,11,Northeast,1151,2,888,TRESPASSING,1822 1501 0910,0,X,X,809,METROLINK TRAIN,,,IC,Invest Cont,888,,,,1500 N  VERMONT                      AV,,34.0986,-118.2962
230221254,11/20/2023 0:00,11/20/2023 0:00,200,2,Rampart,257,2,624,BATTERY - SIMPLE ASSAULT,1822 0401,35,M,O,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1200    WILSHIRE                     BL,,34.053,-118.2649
230618040,11/20/2023 0:00,11/20/2023 0:00,40,6,Hollywood,666,1,210,ROBBERY,1300 1822 0334 0344,35,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,GOWER,DE LONGPRE                   AV,34.0962,-118.3223
231614237,11/20/2023 0:00,11/20/2023 0:00,611,16,Foothill,1699,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,7700    HOLLYWOOD                    WY,,34.2107,-118.3485
230401613,11/20/2023 0:00,11/20/2023 0:00,16,4,Hollenbeck,497,1,320,"BURGLARY, ATTEMPTED",0329 1402,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,320,998,,,2800 E  PICO                         BL,,34.0205,-118.2202
230221271,11/20/2023 0:00,11/20/2023 0:00,1000,2,Rampart,237,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0416 0411 1822,0,,,101,STREET,216,SCISSORS,IC,Invest Cont,230,,,,100    GLENDALE                     BL,,34.0621,-118.2619
231223448,11/20/2023 0:00,11/20/2023 0:00,1130,12,77th Street,1241,2,354,THEFT OF IDENTITY,0100 0917 0930 0928,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6100    11TH                         AV,,33.9846,-118.3294
231517865,11/20/2023 0:00,11/20/2023 0:00,925,15,N Hollywood,1567,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1609,0,,,203,OTHER BUSINESS,306,ROCK/THROWN OBJECT,IC,Invest Cont,740,,,,LANKERSHIM,RIVERSIDE,34.1523,-118.367
230124442,11/20/2023 0:00,11/20/2023 0:00,325,1,Central,195,2,624,BATTERY - SIMPLE ASSAULT,2049 0400 0416 0417 2051,65,M,B,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,BROADWAY,18TH                         ST,34.0327,-118.2647
232018139,11/20/2023 0:00,11/20/2023 0:00,1403,20,Olympic,2044,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1402 2004 0400 0445 0917 0432 0378,0,,,101,STREET,311,HAMMER,IC,Invest Cont,230,998,,,ARDMORE                      AV,SAN MARINO,34.0545,-118.302
232116710,11/20/2023 0:00,11/20/2023 0:00,1400,21,Topanga,2145,1,210,ROBBERY,0344 0400 1258 2024,0,,,135,MTA PROPERTY OR PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,CANOGA                       AV,VANOWEN                      BL,34.1923,-118.6104
230124496,11/20/2023 0:00,11/20/2023 0:00,1235,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0430,0,,,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,6TH,SAN JULIAN,34.0423,-118.2453
231320891,11/20/2023 0:00,11/20/2023 0:00,100,13,Newton,1343,2,624,BATTERY - SIMPLE ASSAULT,0444 0602 0913,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 E  38TH                         ST,,34.012,-118.2653
230414551,11/20/2023 0:00,11/20/2023 0:00,145,4,Hollenbeck,497,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0400 0419,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,2900 E  OLYMPIC                      BL,,34.0225,-118.2156
231223434,11/20/2023 0:00,11/20/2023 0:00,715,12,77th Street,1241,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2002 0360,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,6600    BRYNHURST                    AV,,33.9793,-118.3338
231517877,11/20/2023 0:00,11/20/2023 0:00,1010,15,N Hollywood,1549,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,421,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,5500    CASE                         AV,,34.17,-118.3719
230717368,11/20/2023 0:00,11/20/2023 0:00,1020,7,Wilshire,726,1,330,BURGLARY FROM VEHICLE,0358 1302 0344,0,,,101,STREET,,,IC,Invest Cont,330,,,,STEARNS,PICKFORD,34.0726,-118.3463
231320869,11/20/2023 0:00,11/20/2023 0:00,1200,13,Newton,1373,1,210,ROBBERY,0344 0443 0913 0400,0,,,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,56TH                         ST,PALOMA                       ST,33.9916,-118.2621
230124487,11/20/2023 0:00,11/20/2023 0:00,1400,1,Central,119,2,888,TRESPASSING,1402 0910,0,,,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,998,,,800 N  VIGNES                       ST,,34.0559,-118.232
230124497,11/20/2023 0:00,11/20/2023 0:00,1235,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1822 0430,0,,,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,6TH,SAN JULIAN,34.0423,-118.2453
231819661,11/20/2023 0:00,11/20/2023 0:00,730,18,Southeast,1823,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,0,,,108,PARKING LOT,,,IC,Invest Cont,341,,,,10200    AVALON                       BL,,33.9441,-118.2652
231819634,11/20/2023 0:00,11/20/2023 0:00,30,18,Southeast,1891,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GARDENA                      BL,FIGUEROA                     ST,33.8818,-118.2826
231420518,11/20/2023 0:00,11/20/2023 0:00,300,14,Pacific,1453,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4000    MICHAEL                      AV,,33.9929,-118.4395
230124499,11/20/2023 0:00,11/20/2023 0:00,1550,1,Central,153,2,888,TRESPASSING,0910 2004,0,,,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
231819658,11/20/2023 0:00,11/20/2023 0:00,1200,18,Southeast,1842,1,210,ROBBERY,0344 0448 0446 2051 2049 0216 2024,0,,,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,BROADWAY,IMPERIAL                     HY,33.931,-118.2785
231420544,11/20/2023 0:00,11/20/2023 0:00,955,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,,,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,300    WORLD WAY,,33.9455,-118.4001
230221266,11/20/2023 0:00,11/20/2023 0:00,200,2,Rampart,216,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,800 N  ALVARADO                     ST,,34.0747,-118.2686
230221257,11/20/2023 0:00,11/20/2023 0:00,900,2,Rampart,299,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1300 0411 0416 0400 0334 1912,22,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,,,,1000 W  18TH                         ST,,34.0387,-118.2786
230717342,11/20/2023 0:00,11/20/2023 0:00,300,7,Wilshire,789,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,2100    6TH                          AV,,34.038,-118.3237
231819631,11/20/2023 0:00,11/20/2023 0:00,510,18,Southeast,1844,1,210,ROBBERY,0342 0344 1310 1311 0916 0209,37,M,H,101,STREET,103,RIFLE,IC,Invest Cont,210,,,,109TH                        PL,AVALON,33.9365,-118.2652
231819656,11/20/2023 0:00,11/20/2023 0:00,1250,18,Southeast,1823,1,210,ROBBERY,1822 0344 0416 0400 0342 0216 0209 0206,0,,,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,10200    AVALON                       BL,,33.9441,-118.2652
231223438,11/20/2023 0:00,11/20/2023 0:00,1250,12,77th Street,1263,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913 0561,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,1900 W  84TH                         PL,,33.9618,-118.3112
231717878,11/20/2023 0:00,11/20/2023 0:00,1450,17,Devonshire,1794,2,354,THEFT OF IDENTITY,1822 0928,0,,,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8400    NESTLE                       AV,,34.2229,-118.5307
231517858,11/20/2023 0:00,11/20/2023 0:00,400,15,N Hollywood,1504,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,154,TRAIN TRACKS,,,IC,Invest Cont,341,,,,12000    SHERMAN                      RD,,34.2013,-118.3947
231819637,11/20/2023 0:00,11/20/2023 0:00,900,18,Southeast,1837,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,115TH                        PL,IMPERIAL                     HY,33.9363,-118.2426
231916833,11/20/2023 0:00,11/20/2023 0:00,600,19,Mission,1959,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,9900    LEV                          AV,,34.2502,-118.4332
230320094,11/20/2023 0:00,11/20/2023 0:00,1715,3,Southwest,358,2,624,BATTERY - SIMPLE ASSAULT,1822 0910 0416 0446 2052 2050,0,,,944,MTA - EXPO LINE - EXPO PARK/USC,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600    EXPOSITION                   BL,,34.0183,-118.2832
230221260,11/20/2023 0:00,11/20/2023 0:00,900,2,Rampart,299,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1300 1912 0411 0416 0400 0334,61,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,,,,1000 W  18TH                         ST,,34.0387,-118.2786
231223444,11/20/2023 0:00,11/20/2023 0:00,820,12,77th Street,1267,2,624,BATTERY - SIMPLE ASSAULT,0561 0913 2001 0416,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,900 W  83RD                         ST,,33.9636,-118.2894
230515996,11/20/2023 0:00,11/20/2023 0:00,510,5,Harbor,567,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2000 S  PACIFIC                      AV,,33.7261,-118.288
230817066,11/20/2023 0:00,11/20/2023 0:00,100,8,West LA,836,1,330,BURGLARY FROM VEHICLE,1822 1302 0344,26,M,H,101,STREET,,,IC,Invest Cont,330,,,,10500    SANTA MONICA                 BL,,34.0554,-118.4267
231614231,11/20/2023 0:00,11/20/2023 0:00,600,16,Foothill,1656,1,210,ROBBERY,,54,M,H,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,210,510,,,8500    FOOTHILL                     BL,,34.2597,-118.3179
230124451,11/20/2023 0:00,11/20/2023 0:00,5,1,Central,162,1,210,ROBBERY,0334 0344 1822,25,F,W,102,SIDEWALK,205,KITCHEN KNIFE,IC,Invest Cont,210,,,,700 S  GRAND                        AV,,34.0473,-118.2566
